14:35:59: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 47] Logger initialized
14:35:59: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average Velocity - X: 0.00, Y: 0.00, Z: 4.00
14:36:00: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average Velocity - X: 0.00, Y: 0.00, Z: 1.00
14:36:00: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average Velocity - X: 0.00, Y: 0.00, Z: 0.67
14:36:01: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average Velocity - X: 0.00, Y: 0.00, Z: 0.50
14:36:01: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average Velocity - X: 0.00, Y: 0.00, Z: 0.40
14:36:02: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average Velocity - X: 0.00, Y: 0.00, Z: 0.33
14:36:02: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average Velocity - X: 0.00, Y: 0.00, Z: 0.29
14:36:03: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average Velocity - X: 0.00, Y: 2.50, Z: 0.25
14:36:03: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average Velocity - X: 0.00, Y: 4.44, Z: 0.22
14:36:04: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average Velocity - X: 0.00, Y: 6.00, Z: 0.20
14:36:04: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average Velocity - X: 1.82, Y: 5.45, Z: 0.18
14:36:05: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average Velocity - X: 3.33, Y: 5.00, Z: 0.17
14:36:05: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average Velocity - X: 4.62, Y: 4.62, Z: 0.15
14:36:06: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average Velocity - X: 4.29, Y: 2.86, Z: 0.14
14:36:06: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 92] Average Velocity - X: 4.00, Y: 1.33, Z: 0.13
